row_idx,description,review,desc_S01_score,rev_S01_score,desc_S02_score,rev_S02_score,desc_S03_score,rev_S03_score,desc_S04_score,rev_S04_score,desc_S05_score,rev_S05_score,desc_S06_score,rev_S06_score,desc_S07_score,rev_S07_score,desc_S08_score,rev_S08_score,desc_S09_score,rev_S09_score,desc_S10_score,rev_S10_score
13077,"The whole group will enjoy easy access to everything from this centrally located place. Large open floor plan with living room, dining room, work area, kitchen and full bath all on one floor. Front and back porch complete this level. Second floor has four good size bedrooms, all with closets and additional full bath. Great location near St. Peters, Albany medical, colleges, major highways 🛣️ and more. Offstreet parking and yard make this a great place to stop for some adventures","This was an awesome house. When we walked in after a long drive, we immediately felt right at home and the house was pristine with all the “right” amenities. The living room and dining rooms were spacious. The kitchen was immaculate and was fully stocked with beautiful and clean dishes, glasses and cutlery.  Close to the Crossgates Mall and Stuyvesant Plaza, location is great as well.  We had a fabulous family retreat during Thanksgiving while visiting my mother-in-law who lives nearby. You won’t be disappointed. This is a hidden gem.",0.5,0.9,0.8,0.8,0.5,0.5,0.8,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.5,0.5,0.5,0.5,0.8,0.8
11995,"Welcome to the Mansion Suite, a newly renovated historic gem in the heart of Center Square.  Through a private entrance, down a long foyer, you'll discover the grand Oak Room, an expansive living/dining room with dramatic fireplace mantel, paneling, beamed ceiling, stained glass windows. Adjacent to the lounge, is a stylish and fully equipped  kitchen with new stainless steel appliances.  Both bedrooms have new queen beds, beautiful natural woodwork and overlook a private and quiet courtyard.","david was very kind, clean, and had everything organised beautifully. the building itself is in such a beautiful, scenic area with stunning architecture all around you and just the perfect amount of city. but i didn’t have trouble knowing which lockbox was mine and which door i was going to. honestly probably a mistake on my behalf😹. still very highly recommend!",0.5,0.9,0.5,0.5,0.8,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.5,0.5,0.5,0.5,0.5,0.5
499,"Step into the charming and comfy 1BR/1BA apartment in the heart of Albany, NY. It promises a relaxing retreat bordering picturesque Washington Park and funky Lark Street while being within walking distance to the vibrant downtown, which offers easy access to restaurants, shops, and exciting attractions.  The lovely design and the prime location will leave you in awe.  ✔ Comfy Queen Bedroom ✔ Open Design Living ✔ Fully Equipped Kitchen ✔ Smart TV ✔ Wi-Fi ✔ Free Parking  See more below!","Great communication. Accommodating.  Clean, comfortable spot.  Thank you!",0.5,0.5,0.8,0.8,0.5,0.8,0.8,0.6,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.8,0.5,0.5,0.8,0.8
12751,"Kick back and relax in this calm, stylish space. Garden level studio just recently updated. Open floor plan offering everything you need to come home after a long day. Great location minutes off of Lark Street. Close to Capital Center, downtown, medical center and more.","Comfortable little studio in a central location. Parking was a little tight on Friday evening, but was easy enough at other times.  The host was very nice and everything was as described.  This is a garden level apartment, and there were several bugs/spiders in the apartment/bathroom.  It wasn't a huge problem, but might be for someone with a phobia, so just something to note.  We would be happy to stay again at this apartment.",0.5,0.5,0.8,0.8,0.5,0.8,0.8,0.6,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.8,0.5,0.5,0.8,0.8
5443,The room is large with Western exposure giving more bright light in the afternoons. There is a desk for working and a closet and dresser. The room is filled with original art.,"A) Awesome host. B) Very comfortable room and house in suburban neighborhood. C) Easy access to and from highway. I had been hesitant about being “so far away from Troy” but really, it was just 20 minutes in non-rush hour traffic and well worth it. I anticipate continuing to make trips to this area and would be thrilled if there are future opportunities to stay with this host in this home.",0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5
12265,"Stay in our 4-bedroom townhouse-style 2nd+3rd floor apartment nestled in a renovated, historic 200-year-old building located in Albany's serene Pastures neighborhood. Just a short walk from landmarks like the Albany Medical Center, Times Union Center, Empire State Plaza, and vibrant Lark Street. Easy access to I-787, I-90 & I-87. Four queen beds and a queen air mattress accommodate up to 10. Ideal for large families and groups. Dive into Albany's history with modern comforts.","Took our kids to a concert at mvp arena, and stayed at this location. It was close enough to walk to the show without the kids complaining, and staying the night was pleasant and comfortable! Would definitely recommend.",0.5,0.5,0.8,0.8,0.5,0.5,0.8,0.8,0.5,0.5,0.8,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3597,"Urban Oasis!  2nd Floor guest bedroom in residential home.  Shared entrance.  Access to full kitchen, shared bath, bedroom, laundry and parking. Walking distance to Albany Med, Albany Pharmacy, Albany Law School, College of St. Rose and Sage College.  On Main bus line.  10 minute drive from downtown","Ed is the BEST host. I’ve stayed in 2 of his Airbnb rooms now, several times, and it always feels like “coming home”. Has everything you need and is less than 10 min walk to Albany med. Ed always replies promptly when I message him. I almost don’t want to tell you guys how much I like it here because it’s my little secret gem that I plan on staying at often! House is always spotless, quiet, and they have the best memory foam mattresses, so I sleep like an Angel.",0.5,0.8,0.5,0.5,0.8,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.5,0.7,0.5,0.5
10186,"This historic property is close to everything making it easy to plan your visit. The room is tastefully decorated with a spilt king purple hybrid 4 mattress, sitting area, and well lit desk. There’s a large closet and entertainment center as well. The bathroom is shared with one other room. A second shared bathroom is on the first floor of the home.",This is my second stay with Thomas. I appreciate the amenities they provide and it’s a friendly environment with everyone staying at the house! I would recommend it!,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1523,Spacious warm studio in 1840 house close to hospitals and downtown. Own bath flat screen cable tv wireless internet ground floor. Double bed coffee tea fridge microwave and parking. Suit 1. On park walk to post office cvs Chinese sports bar. Comfortable and decorated with taste. Irish host,I overnighted at this BnB and it was great! I loved the style and tranquility of the room I stayed in. I would definitely stay here again!,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.5,0.5,0.5,0.5,0.5,0.5
12495,"Discover a charming one-bedroom retreat with exposed brick walls and park views right in the heart of Albany. Just a leisurely 3-minute stroll from Albany Med, and mere minutes away from Downtown and state offices, this prime location is surrounded by a tapestry of distinctive and top-tier restaurants and bars, ensuring an unforgettable experience in the heart of our vibrant area. An ideal location for traveling nurses and visitors to the area, perfectly tailored to meet your needs.",Great place to stay! Nice little apartment in a great area. Erion was very easy to talk with and had clear instructions for checking in. Would definitely recommend.,0.5,0.5,0.8,0.8,0.5,0.5,0.8,0.8,0.5,0.5,0.8,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
