review_id,mismatch_proxy,mismatch_type,rating,description,review
681844946189369476,0.33861068939019034,over,4.89,"Charming 2 Bedroom + Workstation apartment in Downtown Albany. Centrally located and easy walking! NFL Blitz Arcade Game. Pets allowed! 2nd FL apartment with an elevator on site!  Enjoy hardwood floors, a custom kitchen, soaking bathtub, and central AC. Featuring a King Bed, Queen bed, pull-out couch, workstation with monitor, and free WiFi. Includes access to a shared washer/dryer.  For long term stays over 1 month, a monthly parking space will be included. Parking garage close by.","El alojamiento muy bien ubicado y muy lindo. Lo unico en contra es que no tiene ventilación. De todas maneras, super recomendable!  Really good apartment. Great location near to the bus. The only “bad thing” its that the apartment doesn’t have ventilation."
1476942854315111304,0.33518494521309083,over,4.98,"This 2nd floor one bedroom in a Historic Brownstone 1800's across the street from Washington park. Beautiful woodwork throughout with all the comforts of home. Great area where you can walk or jog in the park or just enjoy a cup of coffee outside. Choice of restaurants, stores & shops on Lark street. Movie theater, hospitals and malls all in close proximity. We are located on State street in Albany in a desirable residential area with easy Uber or Lyft service available.  ((NO PARTIES!!))",10/10 communication. Great location. Thank you!
1411754502436034664,0.2939264369185217,over,5.0,"Enjoy this lovely neighborhood of Albany when you stay in this 2-bedroom, 2 bathroom home! Bring the whole family to this great place with lots of room for fun. This bright and cozy home includes a fully equipped kitchen, washer/dryer in the home, a huge backyard with a privacy fence and a swing set. A newly remodeled second floor provides a suite-like experience for anyone staying there.   A great place for a family, traveling professionals, or a single person looking for lots of space.",Easy to check in with clear instructions. Very clean and tidy. Nice back yard and would have been even better with a couple chairs or patio furniture to sit  and relax. Overall great place.
463013960638078963,0.29060883415048533,over,5.0,This stunning property will amaze you from the moment you walk in the door. This charming character apartment provides you with all the modern conveniences you would hope for. Peace and tranquility are in abundance. This property takes advantage of natural light that interacts with the home's warm-toned palettes and floods certain parts of the dwelling works to great effect.  Local cafes and restaurants are a short walk away.  Property is within a 5 min drive to all major Albany area hospitals.,"Jessica was a great host!  The space is beautiful and served us very well during a tough time between homes.  The various spaces in the unit provide good opportunity to ""spread out"" and get individual space if you have more than a couple people staying.  The location is excellent and provides quick access to most anything that you want in the Capital Region."
492701952599476407,0.2849035789329122,over,5.0,This stunning property will amaze you from the moment you walk in the door. This charming character apartment provides you with all the modern conveniences you would hope for. Peace and tranquility are in abundance. This property takes advantage of natural light that interacts with the home's warm-toned palettes and floods certain parts of the dwelling works to great effect.  Local cafes and restaurants are a short walk away.  Property is within a 5 min drive to all major Albany area hospitals.,"We thoroughly enjoyed our time in this spacious, comfortable apartment. Jessica was very responsive to any questions we sent her way, even late into the evening. The location is on a low-traffic residential street in a location convenient to getting around New York’s capital city."
1403720610756128425,0.27983407631401214,over,5.0,"Enjoy this lovely neighborhood of Albany when you stay in this 2-bedroom, 2 bathroom home! Bring the whole family to this great place with lots of room for fun. This bright and cozy home includes a fully equipped kitchen, washer/dryer in the home, a huge backyard with a privacy fence and a swing set. A newly remodeled second floor provides a suite-like experience for anyone staying there.   A great place for a family, traveling professionals, or a single person looking for lots of space.","This stay was absolutely incredible. The house is gorgeous with perfect personal touches (video game console,dvd movies, games, etc), as well as super spacious and perfect for 2-5 guests. I couldn’t recommended this place enough, thinking about booking a reservation right now due to my great experience! I will say this is a pet-allowed home so if your at all allergic to dog/cat hair as I am maybe look for a different option but not booking this stay would leave you with so much regret"
1271069897984991975,0.2777725246877081,over,4.93,"A large suite located in a huge Victorian that’s very quiet. Suites have separate locks and are very private. The house maintains a very professional environment. Walking distance to hospitals, law schools and restaurants.","It was easy to access downtown Albany by bicycle or bus from Bela's AirBnB: The State Offices, State Museum, Capital, Capital Center Convention Building, MVP Arena, restaurants, etc. The off street parking was very secure.  I really liked the back yard grass area. Its small table & chairs covered by a permanent awning. The park across the street made it a quiet setting.  The other guests were friendly but respectful of each other's privacy."
1250071344605672194,0.2696422257347084,over,4.93,"A large suite located in a huge Victorian that’s very quiet. Suites have separate locks and are very private. The house maintains a very professional environment. Walking distance to hospitals, law schools and restaurants.",Great place to stay! It’s close to a lot of markets and things to do. Place was cool
1205875580554164494,0.26732290376512235,over,4.89,"Forget your worries in this spacious and serene space. Open floor plan with updated kitchen & bath. Great space to call home for a night or several months. Walking distance to several great restaurants in area. Close to universities, hospital and major malls. Off street parking is located directly behind building.",This location is perfect for getting around the Albany/Capital area. The home was clean cozy and comfortable with a good layout. AC worked really well; the water pressure was awesome! It would be helpful to have a motion light at the back door that has the code for entry. Would definitely stay here again.
855811258855897605,0.2671817407164436,over,5.0,"Newly renovated and spacious.  This sprawling 1 bedroom comes with triple exposures, in unit W/D,  prewar details and a backyard.  As you walk in, you are greeted with a decorative fireplace, built in shelves and a large living room.  Further back into the apartment, is the large bathroom, newly renovated kitchen and a queen sized bedroom, with a large closet.   Located in Center Square, this unit is within a short walk to many bars, restaurants, and parks.  Several Hospitals are with in 5 miles","Beautiful and very clean place. Pictures and descriptions are spot on. Walking distance from restaurants, market, bars. As a travel nurse the location is perfect very close to the hospital I work at. I would recommend this place to stay, especially for travel nurses that work at St. Peters or Albany Med."
1287841319543746754,0.2668576139137233,over,5.0,"Room available near major hospitals and universities/colleges in Albany, NY.   Close to restaurants, grocery stores, bus lines and coffee shops.   We are friendly to travelers of all kinds, folks around for a short-period and welcome all persons.  *Please be advised: This is a 3 bedroom house and the homeowner lives in the house. All rooms are private; all common rooms shared. You will have access to all amenities in home.   We do have pets in the home, please advise of allergies.",Melissa was a wonderful host! I felt right at home immediately. We are looking to move to the area and Melissa's insight was invaluable.  The bed in the room was the best bed I've ever slept in in an Airbnb. I appreciate the touches like a basket for toiletries and a bathmat for my personal use.  I will definitely stay there again if I'm in the area.
1273260264375333151,0.26630394752599784,over,4.93,"A large suite located in a huge Victorian that’s very quiet. Suites have separate locks and are very private. The house maintains a very professional environment. Walking distance to hospitals, law schools and restaurants.","Bela's house is in the city, and there was traffic, but it was less than I was expecting and I slept very well.  I got to interact with two other guests and it was very pleasant.  Thanks for a beautiful place to rest Bela."
1389291006938987591,0.26561222096956527,over,4.85,"Place is within 2-3 miles of AMC, St. Peter's,  UAlbany, SUNY, College of St. Rose, Washington park, Empire State Plaza, and many other establishments.  Only 15 minute ride to the airport !",Very convenient!!! Location is close to a lot of places in Albany. Great place for anyone staying in the capital region for an undetermined amount of time.
1480594897523403756,-0.4289105294239173,under,5.0,"The whole group will enjoy easy access to everything from this centrally located place. 4 bedrooms, 1 bath.  Ideal for a family or group of friends.","A really charming and cute place, we had a very comfortable stay in the house. It is nicely decorated and has all the amenities. The location is pretty central as well."
1388495912816561514,-0.4253842358240707,under,4.68,"Exquisite retreat at Cozy Sunset, mere steps from Albany Medical Hospital and downtown’s vibrant allure. Tailored for discerning professionals, this sophisticated abode blends opulent comfort with unrivaled convenience. Savor proximity to premier dining, boutique shopping, and cultural delights. Secure your splendid sojourn now!","I loved my stay here, I was able to have a great time with my friends. Etem was very responsive and tried his best to help me out throughout my stay. I’ll definitely be booking again."
1148667987320995236,-0.4219529696840665,under,4.0,"Keep it simple at this peaceful and centrally-located place. Very spacious apartment close to Albany Medical center, colleges, shopping and eateries. Come stay and relax after a long day of work or school. We have plenty off street parking available.","The place was new and clean.  Kody was very helpful,  and answered all my questions extremely fast. Very accommodating and flexible ."
1440675373180608648,-0.4194987109364652,under,4.68,"Exquisite retreat at Cozy Sunset, mere steps from Albany Medical Hospital and downtown’s vibrant allure. Tailored for discerning professionals, this sophisticated abode blends opulent comfort with unrivaled convenience. Savor proximity to premier dining, boutique shopping, and cultural delights. Secure your splendid sojourn now!","Staying at Etem’s place was an absolute pleasure. From the moment I arrived, everything was smooth, clean, and exactly as described. The space was cozy, thoughtfully designed, and had everything I needed for a comfortable stay. I’d definitely stay here again. Highly recommend if you’re looking for a peaceful and well-kept spot with a great host."
660215553,-0.4082377671429125,under,4.76,"Indulge in modern luxury and sophistication in this tastefully updated 2-bedroom townhouse-style apartment. With chic designer furnishings and modern amenities, your private porch entrance welcomes you home to elegance. Located on one of Center Square's most picturesque streets, enjoy easy access to fabulous dining, iconic landmarks, and vibrant nightlife. Experience the convenience of city living, just a mile from Albany Medical Center and St. Peter’s Hospital.","Elizabeth is an amazing host. She was so helpful in providing tips about where to visit, eat, and shop in the area, and her space was impeccably clean and well appointed. The location is perfect, and easily walkable to restaurants, but a quick ride out to the country. We are so thankful that our experience moving to Albany began here!"
1512416715717194887,-0.4015073633377346,under,4.68,"Exquisite retreat at Cozy Sunset, mere steps from Albany Medical Hospital and downtown’s vibrant allure. Tailored for discerning professionals, this sophisticated abode blends opulent comfort with unrivaled convenience. Savor proximity to premier dining, boutique shopping, and cultural delights. Secure your splendid sojourn now!","Wonderful stay! The location is perfect,  just a short walk to downtown. The space was clean and comfortable, and the bed was great for a good night’s sleep. The hosts were very responsive and made everything easy. Highly recommend."
1484865986469834740,-0.38861969937899676,under,4.67,"Step into the comfort of this beautiful light-filled, cozy 1 bedroom apartment minutes from hospitals, parks, and great restaurants. Very walkable location next to Albany medical center.  ~fast wi-fi ~fully equipped kitchen ~55” smart tv ~free off street parking ~ contactless self check-in",Great place to stay and very responsible host. Would love to come back. Thank you
1442833026019189557,-0.38427499419056765,under,4.59,"Located just 15 minutes from Albany International Airport, our cozy and modern Airbnb is the perfect place for travelers, business professionals, and adventure seekers looking for a convenient and comfortable stay.  > Prime Location – Quick access to Albany Airport, major highways, and downtown attractions/major stores.   > Comfortable & Clean > Self Check-In > Fast Wi-Fi & Work-Friendly> Fully Equipped Kitchen > Free Off-street Parking","Perfect for us - super clean, comfortable, easy in and out and Cecelia was so nice.  Thank you!!!  :)"
1529802153362026076,-0.38243573420413224,under,4.59,"Located just 15 minutes from Albany International Airport, our cozy and modern Airbnb is the perfect place for travelers, business professionals, and adventure seekers looking for a convenient and comfortable stay.  > Prime Location – Quick access to Albany Airport, major highways, and downtown attractions/major stores.   > Comfortable & Clean > Self Check-In > Fast Wi-Fi & Work-Friendly> Fully Equipped Kitchen > Free Off-street Parking","We loved this place! Very close to highway, well-decorated, clean and organized. Check-in and check-out were easy. We enjoyed our stay for one night here."
1058003596838808973,-0.3802910204320291,under,4.76,"Indulge in modern luxury and sophistication in this tastefully updated 2-bedroom townhouse-style apartment. With chic designer furnishings and modern amenities, your private porch entrance welcomes you home to elegance. Located on one of Center Square's most picturesque streets, enjoy easy access to fabulous dining, iconic landmarks, and vibrant nightlife. Experience the convenience of city living, just a mile from Albany Medical Center and St. Peter’s Hospital.","Elizabeth was an amazing host. Very responsive, place was clean and as described. Stayed for a few months and worth the stay! Will definitely book again with Elizabeth."
1519714588472394598,-0.369438616508325,under,4.68,"Exquisite retreat at Cozy Sunset, mere steps from Albany Medical Hospital and downtown’s vibrant allure. Tailored for discerning professionals, this sophisticated abode blends opulent comfort with unrivaled convenience. Savor proximity to premier dining, boutique shopping, and cultural delights. Secure your splendid sojourn now!",Great place! Host was very friendly and good at communicating. Would recommend.
1458089492087405888,-0.36382158895541217,under,4.59,"Located just 15 minutes from Albany International Airport, our cozy and modern Airbnb is the perfect place for travelers, business professionals, and adventure seekers looking for a convenient and comfortable stay.  > Prime Location – Quick access to Albany Airport, major highways, and downtown attractions/major stores.   > Comfortable & Clean > Self Check-In > Fast Wi-Fi & Work-Friendly> Fully Equipped Kitchen > Free Off-street Parking","The host was incredibly responsive and friendly. The space was spotless, impeccably clean, and precisely as described. It was a comfortable and pleasant stay overall."
1126093176429532983,-0.36292571976260213,under,3.8,"Stylish 1BR + loft apartment in downtown Albany with private second-floor entry and secure building access. Walk to shops, restaurants, and historic sites. Features full kitchen, Smart TV, and cozy, modern design. Great for work trips or getaways in the city. Parking not included — but you’ll be right in the center of it all!","The building changed it's entry method and still had some kinks, but the host went out of their way to help. We attended the Women's NCAA basketball tournament at the MVP Arena. It was an easy walk to parking garages, the arena, and many restaurants and bars."
